node,concord,genes-concord
0,330,0
1,61,265
2,81,209
3,42,286
4,5,315
5,7,312
6,26,275
7,21,280
8,10,318
9,10,318
10,6,319
11,33,286
12,52,259
13,58,264
14,88,154
15,291,36
16,31,295
17,12,288
18,33,295
19,25,300
20,67,255
21,12,312
22,20,300
23,55,267
24,0,329
25,1,327
26,0,298
27,4,292
28,11,255
29,0,326
30,0,326
31,6,318
32,34,286
33,8,304
34,55,254
35,0,326
36,0,325
37,1,325
38,24,297
39,1,324
40,16,301
41,5,318
42,22,299
43,1,329
44,4,319
45,8,320
46,21,301
47,23,286
48,55,224
49,5,321
50,10,314
51,41,278
52,7,319
53,38,260
54,43,229
55,1,324
56,10,312
57,60,251
58,1,324
59,15,300
60,39,266
61,2,320
62,32,277
63,1,317
64,7,310
65,41,262
66,4,322
67,31,157
68,165,154
69,7,319
70,197,113
71,109,208
72,0,327
73,24,299
74,70,245
75,58,265
76,63,258
77,25,301
78,65,253
79,77,239
80,24,295
81,89,231
82,80,236
83,0,330
84,5,321
85,82,243
86,127,192
87,44,278
88,37,287
89,47,276
90,30,295
91,141,181
92,28,299
93,40,233
94,76,248
95,76,247
96,1,328
97,187,136
98,1,329
99,18,307
100,68,253
101,26,289
102,65,249
103,0,330
104,1,327
105,5,322
106,64,261
107,113,211
108,24,301
109,53,267
110,61,252
111,13,314
112,6,312
113,77,234
114,3,316
115,37,267
116,64,237
117,13,296
118,78,213
119,1,329
120,42,283
121,57,261
122,76,232
123,11,311
124,7,320
125,5,320
126,13,311
127,97,223
128,4,322
129,37,285